Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Fish, cod, NFS",26109110,2402,Fish,217,13.52,11.72,0.2,0.5,12.48,1.727,5.104,4.749,42,4,4,0,0,0,0,10,0.167,0.106,1.859,0.093,20,9,43,29,56.3,1.38,0,0,0.4,2.66,0,12,21,237,20,1.02,0.38,0.042,20.5,203,426,0,0,0,0,0,0,0,0.001,0.009,1.237,0.38,0.047,4.949,0.083,0.001,4.109,0.519,0,0.006,0.026,0.003,0.073,60.96
"Fish, flounder, NFS",26115110,2402,Fish,128,15.42,0.01,0.01,0,6.93,1.734,2.274,1.766,60,30,31,0,9,0,0,0,0.023,0.024,1.292,0.139,0,6,6,6,81.1,1.26,0,0,3.5,1.46,0,3.9,27,313,22,0.23,0.4,0.024,33,199,316,0,0,0,0.032,0.022,0.013,0.034,0.043,0.222,0.999,0.308,0.137,1.994,0.096,0.001,1.212,0.166,0.015,0.02,0.17,0.035,0.134,75.8
"Fish, haddock, NFS",26117110,2402,Fish,217,14.31,11.72,0.2,0.5,12.51,1.733,5.092,4.748,47,14,14,0,0,0,0,10,0.158,0.114,3.581,0.205,20,13,46,32,56.3,1.28,0,0,0.4,2.59,0,12,23,196,21,1.02,0.39,0.043,22.8,242,395,0,0,0,0.001,0,0,0.001,0.001,0.009,1.241,0.379,0.047,4.946,0.083,0.002,4.107,0.52,0.002,0.007,0.032,0.004,0.068,60.54
"Fish, mackerel, NFS",26121110,2402,Fish,237,24.94,0.01,0.01,0,14.33,3.977,4.874,3.71,62,40,40,0,9,0,0,0,0.117,0.497,10.332,0.398,0,2,2,2,83.5,4.92,0,2,11.3,1.92,0,3.9,29,156,35,1.45,0.83,0.116,45.3,505,322,0,0,0,0.032,0.022,0.013,0.03,0.047,0.536,2.373,0.79,0.609,3.198,0.425,0.602,1.3,0.207,0.155,0.102,0.632,0.153,1.157,57.82
"Fish, NFS",26100110,2402,Fish,238,19.32,6.64,0.12,0.3,14.52,2.838,5.276,4.531,56,28,29,0,4,0,0,6,0.157,0.133,5.538,0.325,11,18,37,29,69.4,2.4,0,0.9,5.3,2.88,0,8.7,17,229,27,0.86,0.46,0.063,26.4,329,350,0,0,0,0.014,0.01,0.006,0.014,0.017,0.268,1.842,0.549,0.347,4.704,0.195,0.005,3.09,0.405,0.045,0.047,0.286,0.138,0.409,58.36
"Fish, perch, NFS",26127110,2402,Fish,224,13.56,11.72,0.2,0.5,13.34,1.87,5.41,4.855,46,10,11,0,0,0,0,10,0.171,0.108,1.791,0.063,20,11,44,30,56.3,1.05,0,0,1,2.82,0,12,36,212,22,1.06,0.37,0.043,24.9,167,400,0,0,0,0,0,0,0,0.002,0.052,1.311,0.399,0.103,5.06,0.195,0.022,4.12,0.531,0.006,0.007,0.047,0.008,0.116,60.29
"Fish, pompano, NFS",26131110,2402,Fish,244,22.96,0.01,0.01,0,16.3,5.544,4.821,2.713,66,62,62,0,9,0,0,0,0.591,0.142,3.726,0.253,0,17,17,17,64.4,1.45,0,0,13.7,0.9,0,3.9,28,243,34,0.75,0.9,0.047,45.3,474,296,0,0,0,0.032,0.022,0.013,0.03,0.036,0.623,3.402,1.266,0.724,4.061,0.021,0,1.307,0.145,0,0.307,0.218,0.251,0.488,59.03
"Fish, raw",26100100,2402,Fish,94,17.22,0,0,0,2.34,0.557,0.856,0.517,55,8,8,0,0,0,0,0,0.038,0.059,2.101,0.147,0,14,14,14,59.4,2.18,0,0,1.3,0.51,0,0.9,18,219,22,0.32,0.5,0.039,26.2,272,83,0,0,0,0,0,0,0,0.001,0.039,0.394,0.111,0.08,0.728,0.032,0.002,0.249,0.035,0.012,0.038,0.037,0.02,0.092,80.34
"Fish, salmon, NFS",26137110,2402,Fish,274,25.4,0.01,0.01,0,18.4,4.279,5.539,5.172,69,75,75,0,9,0,0,0,0.185,0.168,10.559,0.733,0,23,23,23,102.9,3.87,0,2.9,13.7,4.11,0,4.3,11,305,34,0.44,0.46,0.062,32.1,452,294,0,0,0,0.032,0.022,0.013,0.03,0.037,0.695,2.543,0.735,0.818,4.273,0.407,0.015,2.02,0.315,0.135,0.092,0.86,0.381,1.132,54.59
"Fish, salmon, raw",26137100,2402,Fish,188,20.44,0,0,0,11.16,2.49,3.165,3.117,53,52,52,0,0,0,0,0,0.175,0.143,8.503,0.63,0,20,20,20,82.5,3.46,0,2.9,11,2.76,0,0.5,8,245,27,0.35,0.37,0.05,25.8,364,63,0,0,0,0,0,0,0,0.001,0.468,1.526,0.397,0.638,2.194,0.311,0.012,0.695,0.137,0.109,0.073,0.692,0.306,0.911,67.55
"Fish, tilapia, NFS",26158000,2402,Fish,160,24.95,0.01,0.01,0,6.65,1.913,2.228,1.752,66,19,20,0,9,0,0,0,0.043,0.075,4.847,0.21,0,27,27,27,53.2,1.77,0,0,3.9,1.18,0,5.5,13,212,34,0.7,0.41,0.093,51.9,376,280,0,0,0,0.032,0.022,0.013,0.03,0.036,0.179,1.175,0.375,0.148,2.02,0.046,0,1.353,0.185,0.004,0.03,0.007,0.054,0.107,67.67
"Fish, trout, NFS",26151110,2402,Fish,271,17.08,11.72,0.2,0.5,16.87,2.714,6.553,5.77,51,57,57,0,0,0,0,10,0.223,0.138,5.259,0.245,20,12,45,32,56.3,2.97,0,1.8,12.1,4.03,0,12,34,195,24,1.13,0.49,0.062,21.1,311,382,0,0,0,0,0,0,0,0.003,0.145,1.899,0.538,0.303,5.962,0.248,0.014,4.47,0.569,0.001,0.033,0.165,0.069,0.392,53.25
"Fish, tuna, NFS",26153110,2402,Fish,85,19,0.08,0,0,0.94,0.224,0.114,0.259,36,17,17,0,0,0,0,0,0.03,0.082,9.92,0.32,0,4,4,4,29.3,2.57,0,0,1.2,0.33,0,0.2,18,137,23,1.67,0.66,0.048,67.8,176,219,0,0,0,0.001,0,0,0.002,0,0.011,0.134,0.054,0.017,0.087,0.004,0,0.013,0.002,0.002,0.022,0.025,0.004,0.197,79
"Fish, tuna, raw",26153100,2402,Fish,109,24.4,0,0,0,0.49,0.172,0.116,0.147,39,18,18,0,0,0,0,0,0.118,0.115,18.475,0.933,0,2,2,2,65,2.08,0,0,1.7,0.24,0,0.1,4,278,35,0.77,0.37,0.036,90.6,441,45,0,0,0,0,0,0,0,0.001,0.009,0.106,0.045,0.011,0.083,0.008,0.001,0.019,0.002,0,0.015,0.012,0.004,0.088,74.03
Flavored pasta,58147510,3204,"Pasta mixed dishes, excludes macaroni and cheese",87,2.47,14.45,0.99,0.4,2.21,0.436,0.993,0.719,0,18,19,0,14,0,0,0,0.307,0.064,0.681,0.021,14,4,28,18,1.3,0,0,0.4,0.1,0.27,0,2.2,6,22,7,0.41,0.21,0.037,8.6,21,174,0,0,0,0,0,0.001,0.004,0.001,0.001,0.25,0.164,0.001,0.986,0.005,0,0.664,0.055,0,0,0,0,0,79.73
Flavored rice mixture,58163310,3202,Rice mixed dishes,127,1.87,19.83,0.56,0.4,4.26,0.861,1.961,1.259,1,27,28,0,22,0,0,2,0.109,0.016,1.034,0.038,36,2,63,38,3.2,0.01,0,0.1,0.2,0.48,0,4.7,11,28,8,1.08,0.28,0.06,3.7,33,296,0,0,0,0,0,0,0.002,0.001,0.01,0.54,0.275,0.046,1.893,0.016,0,1.143,0.112,0,0.001,0,0,0,73.04
Freezer pop,91612000,5806,"Gelatins, ices, sorbets",79,0,19.23,13.66,0,0.24,0.013,0.051,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1,0.54,0.15,0,0.2,15,7,0,0,0,0,0,0,0,0,0,0.013,0,0,0.051,0,0,0.015,0,0,0,0,0,0,80.49
French toast sticks,55301031,4404,"Pancakes, waffles, French toast",278,7.52,40.62,12.86,1.3,9.18,1.684,3.306,3.39,20,23,24,0,1,1,0,51,0.315,0.262,2.931,0.085,42,58,90,61,25.5,0.18,0,0,0.4,1.45,0,8.4,104,97,20,2.29,0.68,0.078,12.9,128,535,0,0,0,0.017,0.01,0.008,0.017,0.019,0.064,1.083,0.389,0.046,3.214,0.049,0,3.006,0.369,0,0.001,0.001,0,0,40.75
"French toast, NFS",55300010,4404,"Pancakes, waffles, French toast",273,10.36,32.34,10.08,1.2,11.38,3.252,3.751,3.173,177,104,106,0,11,6,0,231,0.236,0.306,2.398,0.112,37,33,95,70,121.9,0.41,0,0,1.2,1.32,0,4.5,143,148,20,2.39,1.02,0.063,24.9,135,302,0,0,0,0.044,0.031,0.021,0.044,0.055,0.176,2.024,0.767,0.143,3.563,0.03,0,2.765,0.269,0,0.003,0.001,0.001,0,44.38
Fried broccoli,72202030,6430,Fried vegetables,223,4.28,22.41,0.88,1.7,12.88,1.781,5.222,4.819,11,5,8,0,35,0,0,296,0.274,0.167,1.987,0.089,33,30,86,63,19,0.04,0,30.6,0.1,2.37,0,52.5,43,66,17,1.78,0.42,0.07,5.9,161,329,0,0,0,0,0,0,0,0,0.007,1.279,0.392,0.048,5.084,0.08,0,4.27,0.543,0,0,0,0,0,59.05
Fried cauliflower,75409020,6430,Fried vegetables,218,4.02,21.9,1.08,1.6,12.86,1.816,5.231,4.824,11,5,5,0,0,0,0,17,0.265,0.147,1.938,0.086,33,27,84,60,29.1,0.04,0,16.1,0.1,2.34,0,18.5,33,56,14,1.67,0.36,0.062,5.5,159,326,0,0,0,0,0,0,0.007,0,0.007,1.304,0.393,0.049,5.091,0.08,0,4.27,0.541,0,0,0,0,0,59.86
Fried eggplant,75412010,6430,Fried vegetables,218,3.66,22.33,1.77,2,12.82,1.779,5.224,4.843,11,5,5,0,5,0,0,31,0.262,0.139,1.998,0.052,33,16,72,49,14.4,0.04,0,0.8,0.1,2.43,0,13.8,28,49,14,1.6,0.32,0.08,5.4,135,315,0,0,0,0,0,0,0,0,0.007,1.277,0.393,0.049,5.086,0.08,0,4.289,0.54,0,0,0,0,0,59.86
"Frozen dessert, non-dairy",41480020,2806,Soy and meat-alternative products,159,0.87,18.24,17.51,0.1,9.27,7.041,1.049,0.503,0,27,27,0,0,0,0,3,0.013,0.032,0.076,0.009,0,3,3,3,5.2,0.29,0.29,0,0.8,1.58,1.5,0.7,117,27,8,0.26,0.16,0.031,0.6,40,39,0,0,0,0.007,0.06,0.631,0.448,3.559,1.334,0.74,0.253,0.004,1.037,0.007,0,0.456,0.048,0,0,0,0,0,71.26
Frozen fruit juice bar,63420105,5806,"Gelatins, ices, sorbets",106,0.81,25.4,22.6,0.5,0.06,0,0,0.014,0,0,1,0,11,0,0,35,0.01,0.024,0.152,0.02,0,12,12,12,3.3,0,0,16.8,0,0.02,0,0.5,7,9,6,0.32,0.03,0.011,0.2,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.004,0,0,0,0,0,73.53
"Frozen yogurt bar, vanilla",11461210,5802,Ice cream and frozen dairy desserts,127,3,21.6,19.92,0,3.6,2.326,0.986,0.1,13,48,49,0,9,0,0,0,0.04,0.18,0.07,0.04,0,4,4,4,23.1,0.07,0,0.7,0.1,0.09,0,0.3,100,89,10,0.46,0.28,0.009,1.9,156,63,0,0,0,0.111,0.078,0.044,0.1,0.122,0.377,0.986,0.355,0.078,0.82,0,0,0.067,0.033,0,0,0,0,0,71.2
"Frozen yogurt, NFS",11459990,5802,Ice cream and frozen dairy desserts,127,3,21.6,19.92,0,3.6,2.326,0.986,0.1,13,48,49,0,9,0,0,0,0.04,0.18,0.07,0.04,0,4,4,4,23.1,0.07,0,0.7,0.1,0.09,0,0.3,100,89,10,0.46,0.28,0.009,1.9,156,63,0,0,0,0.111,0.078,0.044,0.1,0.122,0.377,0.986,0.355,0.078,0.82,0,0,0.067,0.033,0,0,0,0,0,71.2
"Fruit cocktail, canned, NFS",63311110,6018,Other fruits and fruit salads,55,0.41,14.1,13.08,0.9,0.08,0.009,0.009,0.024,0,0,12,0,113,43,0,71,0.015,0.014,0.335,0.054,0,3,3,3,3.7,0,0,2,0,0.36,0,2.3,6,11,7,0.28,0.09,0.067,0.5,112,5,0,0,0,0,0,0,0,0,0,0.008,0.002,0,0.009,0,0,0.021,0.003,0,0,0,0,0,85.1
"Fruit juice, NFS",64100100,7006,Other fruit juice,51,0.29,12.1,10.4,0.2,0.26,0.02,0.01,0.033,0,0,1,2,5,7,0,35,0.025,0.022,0.035,0.025,0,9,9,9,3.5,0,0,34.7,0.1,0.13,0,0.5,21,11,7,0.08,0.03,0.015,0.1,104,5,0,0,0,0,0,0,0,0,0.001,0.017,0.002,0.001,0.008,0,0,0.026,0.008,0,0,0,0,0,87.14
"Fruit nectar, NFS",64200100,7204,Fruit drinks,51,0.11,13.12,12.45,0.3,0.06,0.014,0.022,0.011,0,0,35,0,402,26,0,0,0.003,0.003,0.08,0.015,0,7,7,7,1.5,0,0,15.2,0,0.21,0,0.8,17,2,3,0.36,0.02,0.015,0.4,24,5,0,0,0,0,0,0,0,0,0.002,0.011,0.001,0.01,0.012,0,0,0.003,0.008,0,0,0,0,0,86.63
"Fruit salad, excluding citrus fruits, with pudding",63403000,6018,Other fruits and fruit salads,137,1.86,18.11,13.32,1.4,6.48,0.739,1.283,3.922,0,0,2,1,19,2,0,18,0.058,0.047,0.325,0.138,0,15,15,15,8.8,0.03,0,16.3,0,0.2,0,2.6,24,48,22,0.25,0.32,0.152,0.4,186,40,0,0,0,0.001,0.001,0,0,0,0.003,0.491,0.24,0.003,1.214,0.012,0,3.032,0.724,0,0,0,0,0,73.03
"Fruit salad, including citrus fruits, with pudding",63402990,6018,Other fruits and fruit salads,133,1.95,17.49,12.8,1.8,6.34,0.727,1.261,3.844,0,0,4,4,28,29,0,48,0.064,0.049,0.335,0.126,0,18,18,18,9.4,0.03,0,15.9,0,0.23,0,2.4,30,49,21,0.26,0.3,0.139,0.5,195,39,0,0,0,0.001,0.001,0,0,0,0.003,0.483,0.235,0.004,1.193,0.012,0,2.973,0.708,0,0,0,0,0,73.67
"Fruit smoothie, NFS",11553100,7220,Smoothies and grain drinks,66,2.32,11.98,8.91,1.1,1.1,0.588,0.243,0.095,4,19,20,1,12,0,0,19,0.042,0.1,0.31,0.071,0,9,9,9,11.8,0.28,0,9.5,0.6,0.16,0,3.3,80,67,14,0.19,0.37,0.034,1.5,174,28,0,0,0,0.023,0.017,0.011,0.025,0.03,0.092,0.27,0.093,0.018,0.226,0.001,0.001,0.067,0.031,0,0.001,0,0,0,83.96
"Fruit, NFS",63100100,6018,Other fruits and fruit salads,68,0.68,16.24,12,1.8,0.21,0.052,0.02,0.053,0,0,5,4,42,24,227,49,0.05,0.026,0.356,0.101,0,11,11,11,6.8,0,0,19.8,0,0.18,0,3.8,13,18,14,0.12,0.09,0.061,0.2,206,1,0,0,0,0,0,0,0,0.001,0.001,0.045,0.004,0.004,0.016,0,0,0.038,0.016,0,0,0,0,0,82.44
Fufu,71970200,6418,Other starchy vegetables,166,1.5,33.59,1.1,3.1,2.99,0.776,1.019,0.853,2,12,15,0,27,10,0,0,0.085,0.036,0.719,0.191,0,22,22,22,21.6,0,0,11.1,0,1.75,0,3.8,31,58,28,0.43,0.3,0.142,0.7,449,143,0,0,0,0.019,0.014,0.008,0.018,0.022,0.069,0.446,0.152,0.015,0.982,0.013,0,0.745,0.109,0,0.001,0,0,0,60.65
"Garlic bread, from fast food / restaurant",51121025,4202,Yeast breads,349,8.34,41.64,3.68,2.5,16.58,5.27,4.66,5.426,0,13,13,0,0,0,0,25,0.438,0.184,4.134,0.083,45,122,199,167,8.5,0.08,0,0.2,0.2,1.18,0,29.4,27,87,23,3.04,0.87,0.108,16.6,103,620,0,0,0,0.008,0.006,0.027,0.042,0.651,0.333,3.343,0.736,0.032,3.874,0.734,0.002,5.371,0.038,0,0,0.002,0.002,0.001,31.72
"Garlic bread, from frozen",51121035,4202,Yeast breads,350,8.36,41.72,3.69,2.5,16.61,5.281,4.669,5.437,0,13,13,0,0,0,0,25,0.439,0.184,4.142,0.083,45,122,199,167,8.5,0.08,0,0.2,0.2,1.18,0,29.5,27,87,23,3.05,0.87,0.108,16.6,103,544,0,0,0,0.008,0.006,0.027,0.042,0.652,0.334,3.35,0.737,0.032,3.882,0.735,0.002,5.382,0.038,0,0,0.002,0.002,0.001,31.78
"Garlic bread, NFS",51121015,4202,Yeast breads,349,8.34,41.64,3.68,2.5,16.58,5.27,4.66,5.426,0,13,13,0,0,0,0,25,0.438,0.184,4.134,0.083,45,122,199,167,8.5,0.08,0,0.2,0.2,1.18,0,29.4,27,87,23,3.04,0.87,0.108,16.6,103,620,0,0,0,0.008,0.006,0.027,0.042,0.651,0.333,3.343,0.736,0.032,3.874,0.734,0.002,5.371,0.038,0,0,0.002,0.002,0.001,31.72
"Garlic bread, NFS",51121015,4202,Yeast breads,349,8.34,41.64,3.68,2.5,16.58,5.27,4.66,5.426,0,13,13,0,0,0,0,25,0.438,0.184,4.134,0.083,45,122,199,167,8.5,0.08,0,0.2,0.2,1.18,0,29.4,27,87,23,3.04,0.87,0.108,16.6,103,620,0,0,0,0.008,0.006,0.027,0.042,0.651,0.333,3.343,0.736,0.032,3.874,0.734,0.002,5.371,0.038,0,0,0.002,0.002,0.001,31.72
"Garlic, raw",75111500,8406,Mustard and other condiments,143,6.62,28.2,1,2.7,0.38,0.089,0.011,0.249,0,0,0,0,5,0,0,16,0.2,0.11,0.7,1.235,0,3,3,3,23.2,0,0,10,0,0.08,0,1.7,181,153,25,1.7,1.16,0.299,9.8,401,17,0,0,0,0,0,0,0.002,0,0,0.087,0,0,0.011,0,0,0.229,0.02,0,0,0,0,0,63.1
Gizzard,25170420,2010,Liver and organ meats,153,30.15,0,0,0,2.66,0.665,0.524,0.35,367,0,0,0,0,0,0,0,0.026,0.208,3.095,0.07,0,5,5,5,103.6,1.03,0,0,0,0.2,0,0,17,188,3,3.16,4.38,0.16,40.8,178,363,0,0,0,0,0,0,0,0,0,0.405,0.236,0.073,0.439,0.011,0,0.221,0.007,0,0.103,0,0,0,67.39
"Gnocchi, cheese",58122210,3204,"Pasta mixed dishes, excludes macaroni and cheese",178,8.51,9.38,0.14,0.2,11.96,4.344,4.468,2.167,68,128,132,0,49,2,0,64,0.081,0.171,0.548,0.026,8,12,26,20,41,0.31,0,0,0.7,0.84,0,7,169,144,12,0.86,1,0.03,13.3,83,263,0,0,0,0.12,0.059,0.046,0.104,0.1,0.461,2.288,1.036,0.146,4.311,0.014,0,1.952,0.177,0,0.004,0.001,0.002,0,68.83
"Gnocchi, potato",58122220,3204,"Pasta mixed dishes, excludes macaroni and cheese",135,2.44,17.2,0.99,1,6.33,3.42,1.269,0.259,18,60,62,0,27,4,0,15,0.129,0.074,1.21,0.102,12,5,26,17,9.1,0.06,0,1.9,0.2,0.03,0,1.3,22,41,12,0.83,0.24,0.074,2.3,139,279,0,0,0,0.15,0.107,0.062,0.144,0.165,0.533,1.601,0.555,0.075,1.134,0.009,0,0.233,0.031,0.001,0.008,0.002,0.003,0,72.94
Goat milk,11116000,1002,"Milk, whole",69,3.56,4.45,4.45,0,4.14,2.667,1.109,0.149,11,56,57,0,7,0,0,0,0.048,0.138,0.277,0.046,0,1,1,1,16,0.07,0,1.3,1.3,0.07,0,0.3,134,111,14,0.05,0.3,0.046,1.4,204,50,0,0,0,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.082,0.977,0,0,0.109,0.04,0,0,0,0,0,87.03
"Goose, wild, roasted",24311010,2206,"Turkey, duck, other poultry",304,25.06,0,0,0,21.83,6.841,10.207,2.509,91,21,21,0,0,0,0,0,0.077,0.322,4.151,0.368,0,2,2,2,66.2,0.41,0,0,0.1,1.73,0,5.1,13,269,22,2.82,2.61,0.263,21.7,328,232,0,0,0,0,0,0,0,0.04,0.11,4.511,1.802,0.677,9.48,0.02,0,2.231,0.179,0,0,0,0,0,51.73
"Grape juice, 100%",64116020,7006,Other fruit juice,66,0.18,15.73,14.24,0.2,0.28,0.025,0.003,0.022,0,0,0,0,5,0,0,57,0.013,0.015,0.011,0.026,0,2,2,2,3.2,0,0,50.4,0,0,0,0.4,8,12,6,0.08,0.04,0.01,0,50,6,0,0,0,0,0,0,0,0,0.001,0.021,0.003,0,0.003,0,0,0.017,0.005,0,0,0,0,0,83.68
"Grapefruit, canned",61101200,6012,Citrus fruits,36,0.58,9.15,8.75,0.4,0.1,0.014,0.014,0.024,0,0,0,0,0,0,0,0,0.039,0.021,0.249,0.02,0,9,9,9,5.1,0,0,21.8,0,0.09,0,0,15,10,10,0.41,0.09,0.067,0.9,132,2,0,0,0,0,0,0,0,0,0,0.013,0.001,0.001,0.012,0,0,0.019,0.005,0,0,0,0,0,89.85
"Grapefruit, raw",61101010,6012,Citrus fruits,42,0.77,10.66,6.89,1.6,0.14,0.021,0.02,0.036,0,0,58,3,686,6,1419,5,0.043,0.031,0.204,0.053,0,13,13,13,7.7,0,0,31.2,0,0.13,0,0,22,18,9,0.08,0.07,0.032,0.1,135,0,0,0,0,0,0,0,0,0,0,0.018,0.002,0.002,0.018,0,0,0.029,0.008,0,0,0,0,0,88.06
"Grapes, raw",63123000,6006,Grapes,83,0.9,19.4,16.74,0.9,0.2,0.054,0.007,0.048,0,0,3,1,39,0,0,72,0.069,0.07,0.188,0.086,0,2,2,2,5.6,0,0,3.2,0,0.19,0,14.6,10,24,8,0.18,0.04,0.071,0.1,224,5,0,0,0,0,0,0,0,0,0.001,0.046,0.006,0,0.007,0,0,0.037,0.011,0,0,0,0,0,79.04
"Gravy, NFS",28520010,8412,"Dips, gravies, other sauces",53,3.75,4.81,0.21,0.4,2.36,1.153,0.962,0.08,3,1,1,0,0,0,0,1,0.032,0.036,0.66,0.01,0,2,2,2,6.3,0.1,0,0,0,0.02,0,0.1,6,30,2,0.7,1,0.1,1,81,633,0,0,0,0,0,0,0,0.02,0.09,0.591,0.451,0.1,0.852,0.01,0,0.07,0.01,0,0,0,0,0,87.48
"Greek Salad, no dressing",75146000,3104,Vegetable dishes,48,2.75,4.35,1.43,1.5,2.26,0.859,0.975,0.262,6,8,240,10,2777,2,238,1301,0.049,0.083,0.929,0.063,0,36,36,36,11.3,0.11,0,5.5,0.1,0.41,0,55.9,57,45,13,0.9,0.4,0.074,3.2,228,246,0,0,0,0.021,0.017,0.026,0.025,0.028,0.106,0.482,0.132,0.047,0.906,0.003,0.005,0.127,0.074,0.002,0,0.023,0.001,0.04,89.43
Green bean casserole,75403020,3104,Vegetable dishes,56,1.96,7.05,2.03,1.9,2.21,0.505,0.474,1.056,1,8,26,37,203,0,0,343,0.039,0.077,0.52,0.071,0,17,17,17,13.3,0.04,0,5.8,0.2,0.4,0,31.3,42,43,18,0.43,0.28,0.063,1.5,203,316,0,0,0,0.008,0.006,0.004,0.009,0.01,0.037,0.299,0.11,0.007,0.459,0.01,0,0.902,0.155,0,0,0,0,0,87.48
"Green beans, raw",75101800,6412,String beans,40,1.97,7.41,2.33,3,0.28,0.05,0.01,0.113,0,0,35,69,379,0,0,640,0.06,0.104,0.731,0.121,0,33,33,33,15.3,0,0,12.2,0,0.41,0,43.9,40,41,28,0.65,0.35,0.098,0.6,290,0,0,0,0,0,0,0,0,0,0,0.042,0.008,0,0.008,0,0,0.044,0.069,0,0,0,0,0,89.66
"Green peas, raw",75120000,6418,Other starchy vegetables,81,5.42,14.45,5.67,5.7,0.4,0.071,0.035,0.187,0,0,38,21,449,0,0,2477,0.266,0.132,2.09,0.169,0,65,65,65,28.4,0,0,40,0,0.13,0,24.8,25,108,33,1.47,1.24,0.176,1.8,244,5,0,0,0,0,0,0,0,0,0,0.064,0.007,0,0.035,0,0,0.152,0.035,0,0,0,0,0,78.86
"Grilled cheese sandwich, American cheese, on wheat bread",14640110,3720,Cheese sandwiches,341,12.05,26.13,4.44,2.8,20.98,9.947,4.945,2.634,48,181,189,0,92,5,0,45,0.175,0.234,2.574,0.25,6,30,41,37,22.3,0.51,0,0.1,2.6,1.35,0,9.3,470,321,40,1.9,1.56,0.11,20.9,176,817,0,0,0,0.343,0.265,0.165,0.388,0.455,1.431,4.707,1.869,0.238,4.722,0.056,0.001,2.349,0.268,0.003,0.022,0.006,0.009,0.001,37.11
"Grilled cheese sandwich, American cheese, on white bread",14640105,3720,Cheese sandwiches,343,11.03,28.09,4.51,1.2,20.78,9.999,4.979,2.791,48,181,189,0,91,5,0,35,0.22,0.247,2.511,0.214,38,16,80,54,18.9,0.51,0,0,2.6,1.28,0,6.5,496,293,25,2.01,1.32,0.075,18.6,139,822,0,0,0,0.345,0.265,0.168,0.389,0.457,1.435,4.735,1.876,0.24,4.765,0.055,0.001,2.488,0.295,0.003,0.022,0.006,0.009,0.001,36.46
"Grilled cheese sandwich, cheddar cheese, on wheat bread",14640130,3720,Cheese sandwiches,366,14.4,24.42,2.85,2.8,23.46,11.247,5.425,2.672,53,205,209,0,42,1,0,31,0.175,0.272,2.545,0.242,6,33,44,39,18.6,0.37,0,0.1,0.4,1.32,0,9,342,254,39,1.69,2.04,0.111,24.5,128,536,0,0,0,0.385,0.301,0.188,0.448,0.52,1.65,5.276,2.135,0.27,5.249,0.048,0.001,2.44,0.268,0.001,0.027,0.006,0.01,0,35.07
"Grilled cheese sandwich, cheddar cheese, on white bread",14640125,3720,Cheese sandwiches,368,13.38,26.38,2.92,1.2,23.26,11.299,5.458,2.829,53,205,209,0,42,1,0,22,0.22,0.285,2.482,0.207,38,19,83,56,15.1,0.37,0,0,0.4,1.26,0,6.3,367,227,24,1.8,1.79,0.077,22.2,91,541,0,0,0,0.387,0.302,0.191,0.45,0.522,1.654,5.305,2.142,0.273,5.293,0.046,0.001,2.58,0.294,0.001,0.027,0.006,0.01,0,34.42
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",14640160,3720,Cheese sandwiches,305,12.34,27.38,5.64,2.8,16.25,7.5,4.226,2.393,36,179,185,0,71,1,0,31,0.189,0.286,2.592,0.246,6,32,43,38,25.3,0.38,0,0.1,2.1,1.15,0,9.1,277,388,41,1.71,1.56,0.11,18.8,220,734,0,0,0,0.315,0.202,0.138,0.266,0.323,1.053,3.517,1.49,0.218,3.823,0.024,0,2.118,0.278,0.001,0.009,0.003,0.003,0,40.57
